Rank,Artist,Title
1,Peggy Gou,(It Goes Like) Nanana (Edit)
2,Billie Eilish,"What Was I Made For? [From The Motion Picture Barbie""]"""
3,Jain,Makeba
4,Teya Dora,Džanum
5,Bibi Babydoll & Dj Brunin XM,Automotivo Bibi Fogosa
6,The Weeknd & Madonna,Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]
7,David Kushner,Daylight
8,Loreen,Tattoo
9,Olivia Rodrigo,vampire
10,Gunna,fukumean
11,Rema,Calm Down
12,KALEO,Way Down We Go
13,Dua Lipa,Dance The Night
14,Nicki Minaj & Ice Spice,Barbie World (with Aqua) [From Barbie The Album]
15,Dave & Central Cee,Sprinter
16,Dj Belite,All Eyes on Me
17,S3BZS,MONTAGEM - PR FUNK
18,Jung Kook & Latto,Seven
19,Lil Durk,All My Life (feat. J. Cole)
20,NBSPLV,The Lost Soul Down
21,Miley Cyrus,Flowers
22,Myke Towers,LALA
23,"Vintazh, ТРАВМА, SKIDRI & Dvrklxght",Плохая Девочка
24,The Kolors,ITALODISCO
25,Florence + the Machine,Dog Days Are Over
26,Tom Odell,Another Love
27,Doechii,What It Is (Block Boy) [feat. Kodak Black]
28,Purple Disco Machine & Kungs,Substitution (feat. Julian Perretta)
29,Travis Scott,TELEKINESIS (feat. SZA & Future)
30,Dr. Dre,The Next Episode (feat. Snoop Dogg)
31,"David Guetta, Anne-Marie & Coi Leray",Baby Don't Hurt Me
32,Calvin Harris & Sam Smith,Desire
33,Asake,Lonely At The Top
34,Diamond Platnumz,Shu! (feat. Chley)
35,Lady Gaga,Bloody Mary
36,Manu Chao,Me Gustas Tu
37,Peta Teanet,African Vibe PT 2
38,Calvin Harris & Ellie Goulding,Miracle
39,Travis Scott,MELTDOWN (feat. Drake)
40,Khaid,Anabella
41,Luke Combs,Fast Car
42,Ayra Starr,Rush
43,INSTASAMKA,Отключаю телефон
44,"Travis Scott, Bad Bunny & The Weeknd",K-POP
45,Adele,Set Fire to the Rain
46,Sway Burr,Long Live Zach
47,FIFTY FIFTY,Cupid (Twin Ver.)
48,uLazi,yey (feat. Infinity MusiQ)
49,Tiësto,Lay Low
50,Tyler ICU & Tumelo.za,"Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)"
51,Iniko,Jericho
52,Kali Uchis,Moonlight
53,Radiohead,Creep (Acoustic)
54,Saad Lamjarred & Shreya Ghoshal,Guli Mata (feat. Rajat Nagpal)
55,Marshmello & Manuel Turizo,El Merengue
56,A.V.G,Я плачу
57,Libianca,People
58,Tears for Fears,Everybody Wants To Rule The World
59,"Metro Boomin, The Weeknd & Diddy",Creepin' (Remix) [feat. 21 Savage]
60,Bad Bunny,WHERE SHE GOES
61,Miley Cyrus,Jaded
62,Post Malone,Chemical
63,Carin Leon,La Primera Cita
64,Taylor Swift,Cruel Summer
65,JIN,The Astronaut
66,David Guetta & Bebe Rexha,I'm Good (Blue)
67,Gym Class Heroes,Cupid's Chokehold / Breakfast In America
68,"King Serenity, Locko & Sergio Alejandro",All for U (Ameyatchi)
69,Harry Styles,As It Was
70,George Michael,Careless Whisper
71,Spacehog,In the Meantime
72,"twocolors, Safri Duo & Chris de Sarandy",Cynical
73,Keane,Somewhere Only We Know
74,Lil Emm,Nwanyi Oma (sped up)
75,Rema,Charm
76,Young Nudy,Peaches & Eggplants (feat. 21 Savage)
77,Tebza De DJ & DJ Nomza The King,Ka Valungu
78,Daddy Yankee,Gasolina
79,Camila Cabello,Shameless
80,CamelPhat & Elderbrook,Cola
81,KAROL G & Shakira,TQG
82,King Promise,Terminator (feat. Young Jonn)
83,Travis Scott,MY EYES
84,Akon,Right Now (Na Na Na)
85,Heuss L'enfoiré,Saiyan (feat. Gazo)
86,Gotye,Somebody That I Used to Know (feat. Kimbra)
87,Kendrick Lamar,Money Trees (feat. Jay Rock)
88,Travis Scott,I KNOW ?
89,Morad,Se Grita (feat. Jul)
90,Davido,UNAVAILABLE (feat. Musa Keys)
91,Puff Daddy,I'll Be Missing You (feat. Faith Evans & 112)
92,Don Omar & Lucenzo,Danza Kuduro (feat. Lucenzo)
93,Ed Sheeran,Perfect
94,P!nk,TRUSTFALL
95,Coolio,Gangsta's Paradise (feat. L.V.)
96,Gala,Freed from Desire
97,Ed Sheeran,Eyes Closed
98,Aerosmith,Dream On
99,The Weeknd,After Hours
100,Benny Benassi & The Biz,Satisfaction (Radio Edit)
101,Soolking & Gazo,Casanova
102,Rihanna,Diamonds
103,James Arthur,Car's Outside
104,Billie Eilish,hotline (edit)
105,Beastie Boys,No Sleep Till Brooklyn
106,Farruko,Pepas
107,Crystal Castles,Kerosene
108,Stephen Sanchez,Until I Found You
109,"R3HAB, Inna & Sash!",Rock My Body
110,Kylie Minogue,Padam Padam
111,The Cure,Just Like Heaven
112,Offset & Cardi B,JEALOUSY
113,Rosa Linn,SNAP
114,Redbone,Come and Get Your Love
115,Morgan Wallen,Last Night
116,Eminem,Without Me
117,Alec Benjamin,Let Me Down Slowly
