Rank,Artist,Title
1,Peggy Gou,(It Goes Like) Nanana (Edit)
2,Billie Eilish,"What Was I Made For? [From The Motion Picture Barbie""]"""
3,Jain,Makeba
4,David Kushner,Daylight
5,The Weeknd & Madonna,Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]
6,Teya Dora,Džanum
7,Bibi Babydoll & Dj Brunin XM,Automotivo Bibi Fogosa
8,Loreen,Tattoo
9,Olivia Rodrigo,vampire
10,Gunna,fukumean
11,Rema,Calm Down
12,Florence + the Machine,Dog Days Are Over
13,KALEO,Way Down We Go
14,Dua Lipa,Dance The Night
15,Dave & Central Cee,Sprinter
16,Dj Belite,All Eyes on Me
17,Nicki Minaj & Ice Spice,Barbie World (with Aqua) [From Barbie The Album]
18,Radiohead,Creep (Acoustic)
19,S3BZS,MONTAGEM - PR FUNK
20,Jung Kook & Latto,Seven
21,NBSPLV,The Lost Soul Down
22,Spacehog,In the Meantime
23,Myke Towers,LALA
24,Lil Durk,All My Life (feat. J. Cole)
25,The Kolors,ITALODISCO
26,Miley Cyrus,Flowers
27,"Vintazh, ТРАВМА, SKIDRI & Dvrklxght",Плохая Девочка
28,Tom Odell,Another Love
29,Purple Disco Machine & Kungs,Substitution (feat. Julian Perretta)
30,Travis Scott,TELEKINESIS (feat. SZA & Future)
31,Dr. Dre,The Next Episode (feat. Snoop Dogg)
32,Doechii,What It Is (Block Boy) [feat. Kodak Black]
33,Calvin Harris & Sam Smith,Desire
34,Beastie Boys,No Sleep Till Brooklyn
35,Manu Chao,Me Gustas Tu
36,Taylor Swift,seven
37,Asake,Lonely At The Top
38,"David Guetta, Anne-Marie & Coi Leray",Baby Don't Hurt Me
39,Lady Gaga,Bloody Mary
40,Kali Uchis,Moonlight
41,Ayra Starr,Rush
42,Khaid,Anabella
43,Luke Combs,Fast Car
44,Travis Scott,I KNOW ?
45,Calvin Harris & Ellie Goulding,Miracle
46,Redbone,Come and Get Your Love
47,Tiësto,Lay Low
48,Adele,Set Fire to the Rain
49,Tyler ICU & Tumelo.za,"Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)"
50,Peta Teanet,African Vibe PT 2
51,FIFTY FIFTY,Cupid (Twin Ver.)
52,uLazi,yey (feat. Infinity MusiQ)
53,Carin Leon,La Primera Cita
54,"Travis Scott, Bad Bunny & The Weeknd",K-POP
55,Iniko,Jericho
56,Marshmello & Manuel Turizo,El Merengue
57,Saad Lamjarred & Shreya Ghoshal,Guli Mata (feat. Rajat Nagpal)
58,Taylor Swift,Cruel Summer
59,Miley Cyrus,Jaded
60,INSTASAMKA,Отключаю телефон
61,Diamond Platnumz,Shu! (feat. Chley)
62,A.V.G,Я плачу
63,Tears for Fears,Everybody Wants To Rule The World
64,Libianca,People
65,Sway Burr,Long Live Zach
66,"Metro Boomin, The Weeknd & Diddy",Creepin' (Remix) [feat. 21 Savage]
67,"King Serenity, Locko & Sergio Alejandro",All for U (Ameyatchi)
68,"twocolors, Safri Duo & Chris de Sarandy",Cynical
69,David Guetta & Bebe Rexha,I'm Good (Blue)
70,CamelPhat & Elderbrook,Cola
71,Bad Bunny,WHERE SHE GOES
72,Post Malone,Chemical
73,JIN,The Astronaut
74,George Michael,Careless Whisper
75,Travis Scott,MELTDOWN (feat. Drake)
76,Doja Cat,Paint The Town Red
77,By Индия & The Limba,money
78,Harry Styles,As It Was
79,Keane,Somewhere Only We Know
80,Daddy Yankee,Gasolina
81,Travis Scott,MY EYES
82,Lil Emm,Nwanyi Oma (sped up)
83,Akon,Right Now (Na Na Na)
84,Camila Cabello,Shameless
85,Don Omar & Lucenzo,Danza Kuduro (feat. Lucenzo)
86,King Promise,Terminator (feat. Young Jonn)
87,KAROL G & Shakira,TQG
88,Rema,Charm
89,Ed Sheeran,Perfect
90,Davido,UNAVAILABLE (feat. Musa Keys)
91,Gotye,Somebody That I Used to Know (feat. Kimbra)
92,Aerosmith,Dream On
93,Crystal Castles,Kerosene
94,Rihanna,Diamonds
95,Morad,Se Grita (feat. Jul)
96,Troye Sivan,Rush
97,Puff Daddy,I'll Be Missing You (feat. Faith Evans & 112)
98,Grupo Frontera & Grupo Firme,EL AMOR DE SU VIDA
99,Coolio,Gangsta's Paradise (feat. L.V.)
100,P!nk,TRUSTFALL
101,Kendrick Lamar,Money Trees (feat. Jay Rock)
102,Yahritza Y Su Esencia & Grupo Frontera,Frágil
103,Ed Sheeran,Eyes Closed
104,James Arthur,Car's Outside
105,LIM KIM,Confess To You (Inst.)
106,MC Levin,Sua Amiga Vou Sarrar
107,Rosa Linn,SNAP
108,Heuss L'enfoiré,Saiyan (feat. Gazo)
109,Stephen Sanchez,Until I Found You
110,James Carr,The Dark End of the Street
111,Farruko,Pepas
112,Gala,Freed from Desire
113,Quevedo,Columbia
114,Kylie Minogue,Padam Padam
115,Aaron Smith,Dancin (feat. Luvli) [Krono Remix]
116,Young Nudy,Peaches & Eggplants (feat. 21 Savage)
