Rank,Artist,Title
1,Peggy Gou,(It Goes Like) Nanana (Edit)
2,Jain,Makeba
3,Loreen,Tattoo
4,The Weeknd & Madonna,Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]
5,Billie Eilish,"What Was I Made For? [From The Motion Picture Barbie""]"""
6,Bibi Babydoll & Dj Brunin XM,Automotivo Bibi Fogosa
7,David Kushner,Daylight
8,Olivia Rodrigo,vampire
9,Teya Dora,Džanum
10,Rema,Calm Down
11,Gunna,fukumean
12,KALEO,Way Down We Go
13,Fleetwood Mac,Everywhere
14,Dua Lipa,Dance The Night
15,Noga Erez,Quiet [from the Netflix Film ‘Heart of Stone’]
16,Jung Kook & Latto,Seven
17,Dave & Central Cee,Sprinter
18,NBSPLV,The Lost Soul Down
19,The Kolors,ITALODISCO
20,Dj Belite,All Eyes on Me
21,Aquisback,Montagem-Pr Funk
22,Doja Cat,Paint The Town Red
23,Florence + the Machine,Dog Days Are Over
24,Lizzo,Juice
25,Kali Uchis,Moonlight
26,Myke Towers,LALA
27,Calvin Harris & Sam Smith,Desire
28,Lil Durk,All My Life (feat. J. Cole)
29,Miley Cyrus,Flowers
30,Tom Odell,Another Love
31,Adil,Госпожа
32,Nicki Minaj & Ice Spice,Barbie World (with Aqua) [From Barbie The Album]
33,Doechii,What It Is (Block Boy) [feat. Kodak Black]
34,Purple Disco Machine & Kungs,Substitution (feat. Julian Perretta)
35,Dr. Dre,The Next Episode (feat. Snoop Dogg)
36,Manu Chao,Me Gustas Tu
37,"cassö, RAYE & D-Block Europe",Prada
38,"David Guetta, Anne-Marie & Coi Leray",Baby Don't Hurt Me
39,Luke Combs,Fast Car
40,"Vintazh, ТРАВМА, SKIDRI & Dvrklxght",Плохая Девочка
41,Lady Gaga,Bloody Mary
42,A.V.G,Я плачу
43,Taylor Swift,Cruel Summer
44,"twocolors, Safri Duo & Chris de Sarandy",Cynical
45,Carin Leon,La Primera Cita
46,Ayra Starr,Rush
47,Asake,Lonely At The Top
48,"Jungeli, Imen Es & Alonzo",Petit génie (feat. Abou Debeing & Lossa)
49,Marshmello & Manuel Turizo,El Merengue
50,Adele,Set Fire to the Rain
51,Calvin Harris & Ellie Goulding,Miracle
52,Tiësto,Lay Low
53,Tears for Fears,Everybody Wants To Rule The World
54,Lancey Foux,LANCEY OR LANCEY
55,CamelPhat & Elderbrook,Cola
56,Miley Cyrus,Jaded
57,Tyler ICU & Tumelo.za,"Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)"
58,FIFTY FIFTY,Cupid (Twin Ver.)
